FID_fvcomGrid_XYTableToPoint,lat,lng,node,TP_2018ltJuly1
195,43.32871246,-79.77609253,195,
196,43.31607437,-79.78662109,196,6.823312283
197,43.31735992,-79.78421021,197,6.823312283
198,43.31787872,-79.78146362,198,6.823312283
199,43.32040405,-79.78048706,199,6.823312283
200,43.32286835,-79.77972412,200,6.823312283
201,43.32527161,-79.77914429,201,7.129477978
202,43.32637405,-79.77639771,202,7.129477978
203,43.31381989,-79.78549194,203,6.823312283
204,43.31147766,-79.78479004,204,
205,43.30921555,-79.78442383,205,6.521319866
206,43.30705643,-79.78436279,206,6.521319866
207,43.30495071,-79.7845459,207,6.521319866
208,43.30360413,-79.78305054,208,6.521319866
209,43.3015976,-79.78237915,209,6.521319866
210,43.29994965,-79.78076172,210,6.521319866
211,43.29800415,-79.78030396,211,6.257843018
212,43.29596329,-79.78048706,212,6.257843018
213,43.29378128,-79.78115845,213,6.257843018
214,43.2914772,-79.78189087,214,6.257843018
215,43.28939819,-79.78305054,215,6.257843018
216,43.28753662,-79.78466797,216,
217,43.28551483,-79.78317261,217,
218,43.28388977,-79.78533936,218,
219,43.33438873,-79.77319336,219,
220,43.33217239,-79.77337646,220,
221,43.32987595,-79.77340698,221,
222,43.32752228,-79.77352905,222,7.129477978
223,43.31533813,-79.78289795,223,6.823312283
224,43.31620789,-79.77935791,224,6.823312283
225,43.31880188,-79.77835083,225,6.823312283
226,43.32141495,-79.7774353,226,7.129477978
227,43.32394028,-79.77679443,227,7.129477978
228,43.32507324,-79.77377319,228,7.129477978
229,43.31274414,-79.78253174,229,6.823312283
230,43.31024933,-79.78213501,230,6.521319866
231,43.30785751,-79.78210449,231,6.521319866
232,43.30560303,-79.78244019,232,6.521319866
233,43.30369568,-79.78097534,233,6.521319866
234,43.30170822,-79.77972412,234,6.521319866
235,43.2994957,-79.77835083,235,6.257843018
236,43.2970314,-79.77722168,236,6.257843018
237,43.29449081,-79.77786255,237,6.257843018
238,43.29202271,-79.77868652,238,6.257843018
239,43.28950882,-79.77960205,239,6.257843018
240,43.28744125,-79.78115845,240,5.986395359
241,43.2853775,-79.77987671,241,5.986395359
242,43.28330612,-79.78128052,242,
243,43.28166962,-79.78372192,243,
244,43.33580017,-79.77120972,244,
245,43.33348465,-79.77090454,245,
246,43.33116913,-79.77075195,246,
247,43.32878494,-79.77062988,247,7.129477978
248,43.32629395,-79.7706604,248,7.129477978
249,43.31373596,-79.77981567,249,6.823312283
250,43.31456757,-79.77664185,250,6.823312283
251,43.31713867,-79.77593994,251,6.823312283
252,43.31981277,-79.77505493,252,7.129477978
253,43.32249451,-79.77426147,253,7.129477978
254,43.3236618,-79.77096558,254,7.129477978
255,43.31113052,-79.77966309,255,6.521319866
256,43.30855179,-79.77963257,256,6.521319866
257,43.30607605,-79.78005981,257,6.521319866
258,43.30401611,-79.7784729,258,6.521319866
259,43.30177307,-79.77697754,259,6.521319866
260,43.29949951,-79.77539063,260,6.213822365
261,43.29748535,-79.77380371,261,6.213822365
262,43.29518509,-79.77420044,262,6.213822365
263,43.29268646,-79.77496338,263,6.257843018
264,43.2899971,-79.77600098,264,6.257843018
265,43.28699493,-79.77709961,265,5.986395359
266,43.28364182,-79.77740479,266,5.986395359
267,43.28092194,-79.77896118,267,
268,43.27928543,-79.78179932,268,
269,43.27667236,-79.77966309,269,
270,44.02602386,-76.28024292,270,6.054339409
271,44.01980972,-76.28359985,271,6.054339409
272,44.02178192,-76.28210449,272,6.054339409
273,44.0238266,-76.28091431,273,6.054339409
274,44.01782227,-76.28317261,274,6.054339409
275,44.01628494,-76.28115845,275,
276,43.33760452,-79.76971436,276,
277,43.33893585,-79.76721191,277,
278,43.3351059,-79.76867676,278,
279,43.33268738,-79.76815796,279,
280,43.33024597,-79.76776123,280,7.23390913
281,43.32769394,-79.76754761,281,7.23390913
282,43.32497787,-79.76763916,282,7.129477978
283,43.3119278,-79.77697754,283,6.521319866
284,43.31282043,-79.7739563,284,6.521319866
285,43.31544113,-79.77310181,285,7.129477978
286,43.31812286,-79.77236938,286,7.129477978
287,43.32089615,-79.77163696,287,7.129477978
288,43.32210922,-79.76809692,288,7.129477978
289,43.30914307,-79.7769165,289,6.521319866
290,43.30656052,-79.77728271,290,6.521319866
291,43.30430603,-79.77554321,291,6.521319866
292,43.30186081,-79.77362061,292,6.213822365
293,43.29943466,-79.77160645,293,6.213822365
294,43.29643631,-79.77053833,294,6.213822365
295,43.29356766,-79.77078247,295,6.213822365
296,43.29080582,-79.77178955,296,6.213822365
297,43.28789139,-79.77301025,297,5.986395359
298,43.2846489,-79.77383423,298,5.986395359
299,43.28112411,-79.77478027,299,5.986395359
300,43.277771,-79.77645874,300,5.986395359
301,43.27376938,-79.77737427,301,
302,44.02819061,-76.27944946,302,6.054339409
303,44.02589417,-76.27746582,303,6.054339409
304,44.02375031,-76.27825928,304,6.054339409
305,44.01967621,-76.28057861,305,6.054339409
306,44.02161026,-76.27920532,306,6.054339409
307,44.01780701,-76.27926636,307,6.054339409
308,44.01552963,-76.27822876,308,
309,43.336689,-79.76651001,309,
310,43.33824158,-79.76409912,310,
311,43.3402977,-79.76486206,311,
312,43.33433533,-79.76568604,312,
313,43.33189011,-79.76501465,313,7.23390913
314,43.32929993,-79.76449585,314,7.23390913
315,43.32651138,-79.76431274,315,7.23390913
316,43.32352448,-79.76449585,316,7.23390913
317,43.30997849,-79.77416992,317,6.521319866
318,43.31122208,-79.77151489,318,6.879521847
319,43.31364441,-79.77032471,319,6.879521847
320,43.31637573,-79.76931763,320,6.879521847
321,43.31921387,-79.76867676,321,7.129477978
322,43.32048035,-79.76486206,322,7.129477978
323,43.30700302,-79.77368164,323,6.521319866
324,43.30431747,-79.77227783,324,6.521319866
325,43.30206299,-79.76940918,325,6.213822365
326,43.29846954,-79.76776123,326,6.213822365
327,43.29495239,-79.76681519,327,6.213822365
328,43.29174042,-79.76712036,328,5.979301929
329,43.28876495,-79.76834106,329,5.979301929
330,43.28565598,-79.7696228,330,5.986395359
331,43.28213882,-79.77069092,331,5.986395359
332,43.27837753,-79.77185059,332,5.986395359
333,43.27457047,-79.77322388,333,5.836182117
334,43.27053452,-79.7749939,334,
335,43.26697922,-79.77236938,335,
336,43.26341248,-79.76873779,336,
337,44.03030014,-76.27838135,337,6.054339409
338,44.03247452,-76.27774048,338,
339,44.03471756,-76.27761841,339,
340,44.02807236,-76.27658081,340,6.054339409
341,44.02611923,-76.27468872,341,6.054339409
342,44.02384949,-76.27536011,342,6.054339409
343,44.02175903,-76.27630615,343,6.054339409
344,44.01961517,-76.27685547,344,6.054339409
345,44.01751328,-76.27597046,345,
346,44.01594162,-76.27529907,346,
347,43.33602905,-79.76321411,347,
348,43.33787537,-79.76077271,348,
349,43.34009552,-79.76193237,349,
350,43.34228134,-79.7633667,350,
351,43.34426117,-79.76187134,351,
352,43.3336525,-79.76229858,352,
353,43.33108521,-79.76150513,353,7.23390913
354,43.32825851,-79.76101685,354,7.23390913
355,43.32517242,-79.76092529,355,7.23390913
356,43.3219986,-79.76104736,356,7.23390913
357,43.30879974,-79.77050781,357,6.521319866
358,43.31142807,-79.76800537,358,6.879521847
359,43.31439209,-79.76635742,359,6.879521847
360,43.31744385,-79.76538086,360,6.879521847
361,43.31877899,-79.76135254,361,7.008723736
362,43.30594635,-79.76901245,362,6.521319866
363,43.30369186,-79.76611328,363,6.600665092
364,43.30056763,-79.76498413,364,6.600665092
365,43.29689407,-79.7635498,365,6.213822365
366,43.29313278,-79.76275635,366,5.979301929
367,43.28968811,-79.76318359,367,5.979301929
368,43.28652191,-79.7645874,368,5.979301929
369,43.28320694,-79.76608276,369,5.979301929
370,43.27946091,-79.7673645,370,5.986395359
371,43.27544785,-79.76861572,371,5.836182117
372,43.27127838,-79.77023315,372,5.836182117
373,43.26795197,-79.76699829,373,5.836182117
374,43.25978851,-79.76498413,374,5.802020073
375,43.26454163,-79.76339722,375,5.802020073
376,43.25603867,-79.76156616,376,5.802020073
377,43.25263977,-79.75744629,377,5.901646137
378,43.24912643,-79.75350952,378,5.901646137
379,44.03657532,-76.27612305,379,
380,44.03025436,-76.2756958,380,6.054339409
381,44.03248978,-76.27505493,381,6.054339409
382,44.03454971,-76.27435303,382,
383,44.02826691,-76.27365112,383,6.054339409
384,44.02645111,-76.27160645,384,6.054339409
385,44.02469635,-76.27276611,385,6.054339409
386,44.02204514,-76.27362061,386,6.054339409
387,44.02315521,-76.27227783,387,6.054339409
388,44.02042007,-76.27337646,388,6.054339409
389,44.01858902,-76.27310181,389,6.054339409
