Date,JulianDate,Latitude,Longitude,I_Index,J_Index,K_Index,Number_Layers,Sigma_Layer_Thickness,TP_ugL-1,Sample_Depth,Water_Depth,Source
5/21/2013,1369094400,43.3836,-79.2853,58,83,6,10,10.7756,4.981,60,107.756,LOLA2013
5/21/2013,1369094400,43.3836,-79.2853,58,83,3,10,10.7756,6.021,25,107.756,LOLA2013
5/21/2013,1369094400,43.3836,-79.2853,58,83,10,10,10.7756,4.982,104,107.756,LOLA2013
7/25/2018,1532476800,43.3836,-79.2853,58,83,1,10,10.7756,3.26,6,107.756,LOLA2013
7/25/2018,1532476800,43.3836,-79.2853,58,83,2,10,10.7756,0.61,20,107.756,LOLA2013
7/25/2018,1532476800,43.3836,-79.2853,58,83,10,10,10.7756,2.8,103.5,107.756,LOLA2013
8/27/2013,1377561600,43.38389,-79.28444,58,83,1,10,10.7756,4.9,1,107.756,
5/22/2018,1526947200,43.38417,-77.98861,148,61,1,10,2.1032,7,2,21.032,ECCC
5/22/2018,1526947200,43.38417,-77.98861,148,61,4,10,2.1032,6,8.1,21.032,ECCC
5/22/2018,1526947200,43.38417,-77.98861,148,61,8,10,2.1032,5.6,16.2,21.032,ECCC
8/16/2018,1534377600,43.38528,-77.98972,148,62,1,10,2.2698,6.2,1,22.698,ECCC
8/16/2018,1534377600,43.38528,-77.98972,148,62,1,10,2.2698,5.8,1,22.698,ECCC
8/16/2018,1534377600,43.38528,-77.98972,148,62,5,10,2.2698,7.9,10,22.698,ECCC
8/16/2018,1534377600,43.38528,-77.98972,148,62,8,10,2.2698,7.4,18,22.698,ECCC
7/29/2018,1532822400,43.38716753,-78.35220652,125,57,2,10,1.9675,6.61,2,19.675,
7/29/2018,1532822400,43.38716753,-78.35220652,125,57,8,10,1.9675,9.6,14.5,19.675,
7/29/2018,1532822400,43.38823828,-78.11128609,141,57,2,10,1.9192,6.08,2,19.192,
7/29/2018,1532822400,43.38823828,-78.11128609,141,57,8,10,1.9192,7.68,14.9,19.192,
8/27/2013,1377561600,43.39139,-78.37,124,60,1,10,2.4864,7.2,1,24.864,
4/9/2013,1365465600,43.39194,-78.36972,124,61,1,10,2.661,11,1,26.61,
8/17/2018,1534464000,43.39222,-78.37028,124,61,1,10,2.661,8.9,1,26.61,
8/13/2018,1534118400,43.39361,-79.48639,45,89,1,10,10.1037,5.2,1,101.037,
8/28/2013,1377648000,43.40778,-76.79528,217,76,1,10,6.8871,7.7,1,68.871,
4/10/2013,1365552000,43.40778,-76.79472,217,76,1,10,6.8871,6.1,1,68.871,
8/15/2018,1534291200,43.408217,-76.794083,217,76,1,10,6.8871,3.073,0,68.871,
8/16/2018,1534377600,43.40861,-76.79389,217,76,1,10,6.8871,9.2,1,68.871,
8/16/2018,1534377600,43.40861,-76.79389,217,76,1,10,6.8871,6.3,1,68.871,
4/9/2013,1365465600,43.41278,-77.57472,173,75,1,10,15.6466,5.9,1,156.466,
8/28/2013,1377648000,43.41306,-77.57472,172,75,1,10,15.6645,7.2,1,156.645,
8/28/2013,1377648000,43.41306,-77.57472,172,75,1,10,15.6645,9.5,1,156.645,
4/15/2013,1365984000,43.41639,-79.40444,51,89,1,10,10.9703,5.2,1,109.703,ECCC
4/15/2013,1365984000,43.41639,-79.40444,51,89,1,10,10.9703,5.4,10,109.703,ECCC
4/15/2013,1365984000,43.41639,-79.40444,51,89,3,10,10.9703,6.1,25,109.703,ECCC
4/15/2013,1365984000,43.41639,-79.40444,51,89,9,10,10.9703,4.7,95,109.703,ECCC
4/15/2013,1365984000,43.41639,-79.40444,51,89,10,10,10.9703,4.8,103,109.703,ECCC
4/7/2013,1365292800,43.4164,-77.917383,152,73,1,10,9.1009,4.8,0,91.009,
4/7/2013,1365292800,43.4164,-77.917383,152,73,1,10,9.1009,4.845,2.4,91.009,
4/7/2013,1365292800,43.4164,-77.917383,152,73,5,10,9.1009,4.673,43.1,91.009,
4/7/2013,1365292800,43.4164,-77.917383,152,73,9,10,9.1009,5.783,75.8,91.009,
4/7/2013,1365292800,43.4164,-77.917383,152,73,10,10,9.1009,4.597,84,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,1,10,9.1009,6.619,0,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,1,10,9.1009,5.616,1.9,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,2,10,9.1009,5.768,17,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,8,10,9.1009,2.131,65.6,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,8,10,9.1009,2.569,71.3,91.009,
8/14/2013,1376438400,43.416433,-77.916517,152,73,9,10,9.1009,2.25,79.4,91.009,
8/26/2013,1377475200,43.41667,-79.40111,52,89,1,10,11.1104,10.5,1,111.104,ECCC
8/26/2013,1377475200,43.41667,-79.40111,52,89,1,10,11.1104,7.5,3,111.104,ECCC
8/26/2013,1377475200,43.41667,-79.40111,52,89,1,10,11.1104,6.7,6,111.104,ECCC
8/26/2013,1377475200,43.41667,-79.40111,52,89,1,10,11.1104,6.7,11,111.104,ECCC
8/26/2013,1377475200,43.41667,-79.40111,52,89,9,10,11.1104,3.6,96,111.104,ECCC
8/26/2013,1377475200,43.41667,-79.40111,52,89,10,10,11.1104,4.7,104,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,1,10,11.1104,5.8,1,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,1,10,11.1104,9.5,4.5,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,2,10,11.1104,9,12,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,4,10,11.1104,4.7,43,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,9,10,11.1104,3.7,95,111.104,ECCC
8/13/2018,1534118400,43.41667,-79.4,52,89,10,10,11.1104,4.8,103,111.104,ECCC
5/22/2013,1369180800,43.4233,-76.8833,212,77,10,10,14.243,6.166,149,142.43,LOLA2013
5/22/2013,1369180800,43.4233,-76.8833,212,77,1,10,14.243,5.535,5,142.43,LOLA2013
5/22/2013,1369180800,43.4233,-76.8833,212,77,5,10,14.243,4.539,60,142.43,LOLA2013
5/22/2013,1369180800,43.4233,-76.8833,212,77,2,10,14.243,5.183,20,142.43,LOLA2013
7/22/2013,1374451200,43.4233,-76.8833,212,77,1,10,14.243,7.991,5,142.43,LOLA2013
7/22/2013,1374451200,43.4233,-76.8833,212,77,8,10,14.243,4.162,100,142.43,LOLA2013
7/22/2013,1374451200,43.4233,-76.8833,212,77,2,10,14.243,6.671,22,142.43,LOLA2013
7/22/2013,1374451200,43.4233,-76.8833,212,77,10,10,14.243,6.183,151,142.43,LOLA2013
9/12/2013,1378944000,43.4233,-76.8833,212,77,1,10,14.243,6.082,5,142.43,LOLA2013
9/12/2013,1378944000,43.4233,-76.8833,212,77,7,10,14.243,5.305,90,142.43,LOLA2013
9/12/2013,1378944000,43.4233,-76.8833,212,77,3,10,14.243,3.902,38,142.43,LOLA2013
9/12/2013,1378944000,43.4233,-76.8833,212,77,10,10,14.243,7.061,145,142.43,LOLA2013
8/16/2018,1534377600,43.42361,-76.8825,212,77,1,10,14.243,6.3,1,142.43,ECCC
8/16/2018,1534377600,43.42361,-76.8825,212,77,1,10,14.243,10.4,9,142.43,ECCC
8/16/2018,1534377600,43.42361,-76.8825,212,77,2,10,14.243,8.6,22,142.43,ECCC
8/16/2018,1534377600,43.42361,-76.8825,212,77,3,10,14.243,5.6,34,142.43,ECCC
8/16/2018,1534377600,43.42361,-76.8825,212,77,10,10,14.243,5.5,135,142.43,ECCC
8/16/2018,1534377600,43.42361,-76.8825,212,77,10,10,14.243,5.2,141,142.43,ECCC
4/15/2013,1365984000,43.42444,-79.65778,33,96,1,10,1.8224,10.2,1,18.224,ECCC
9/3/2013,1378166400,43.42472,-79.65833,33,96,1,10,1.8224,14.4,1,18.224,ECCC
8/13/2018,1534118400,43.42472,-79.65778,33,96,1,10,1.8224,5.1,1,18.224,ECCC
5/20/2013,1369008000,43.42514,-77.89707,153,74,9,10,11.6672,5.7,100,116.672,
6/17/2013,1371427200,43.42514,-77.89707,153,74,9,10,11.6672,8.9,100,116.672,
7/23/2013,1374537600,43.42514,-77.89707,153,74,9,10,11.6672,7.9,100,116.672,
8/20/2013,1376956800,43.42514,-77.89707,153,74,9,10,11.6672,8.9,100,116.672,
9/18/2013,1379462400,43.42514,-77.89707,153,74,9,10,11.6672,7,100,116.672,
8/28/2013,1377648000,43.43389,-77.71222,164,76,1,10,12.3003,20.2,1,123.003,ECCC
4/9/2013,1365465600,43.43389,-77.71111,164,76,1,10,12.3003,6,1,123.003,ECCC
8/27/2013,1377561600,43.43944,-79.12778,70,84,1,10,12.4891,7.9,1,124.891,ECCC
4/16/2013,1366070400,43.44,-79.12722,71,84,1,10,12.5892,5.4,1,125.892,ECCC
8/28/2013,1377648000,43.44167,-77.4375,180,78,1,10,19.53,7.4,1,195.3,ECCC
4/10/2013,1365552000,43.44222,-77.4375,180,78,1,10,19.53,6.6,1,195.3,ECCC
4/5/2013,1365120000,43.4431,-77.4381,180,78,1,10,19.53,4.672,0,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,1,10,19.53,4.659,3.4,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,1,10,19.53,4.013,5,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,1,10,19.53,4.613,10,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,2,10,19.53,5.339,19.9,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,2,10,19.53,4.426,30,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,3,10,19.53,4.742,40,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,3,10,19.53,4.197,50,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,6,10,19.53,4.459,100,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,10,10,19.53,4.473,183.1,195.3,LOLA2013
4/5/2013,1365120000,43.4431,-77.4381,180,78,10,10,19.53,4.596,191.2,195.3,LOLA2013
5/23/2013,1369267200,43.4431,-77.4381,180,78,10,10,19.53,6.489,198,195.3,LOLA2013
5/23/2013,1369267200,43.4431,-77.4381,180,78,1,10,19.53,10,5,195.3,LOLA2013
5/23/2013,1369267200,43.4431,-77.4381,180,78,6,10,19.53,6.862,100,195.3,LOLA2013
5/23/2013,1369267200,43.4431,-77.4381,180,78,2,10,19.53,6.236,20,195.3,LOLA2013
7/21/2013,1374364800,43.4431,-77.4381,180,78,1,10,19.53,5.8,5,195.3,LOLA2013
7/21/2013,1374364800,43.4431,-77.4381,180,78,7,10,19.53,3.174,120,195.3,LOLA2013
7/21/2013,1374364800,43.4431,-77.4381,180,78,2,10,19.53,6.234,20,195.3,LOLA2013
7/21/2013,1374364800,43.4431,-77.4381,180,78,10,10,19.53,4.647,192,195.3,LOLA2013
9/13/2013,1379030400,43.4431,-77.4381,180,78,1,10,19.53,5.835,5,195.3,LOLA2013
9/13/2013,1379030400,43.4431,-77.4381,180,78,6,10,19.53,3.642,115,195.3,LOLA2013
9/13/2013,1379030400,43.4431,-77.4381,180,78,3,10,19.53,3.669,40,195.3,LOLA2013
9/13/2013,1379030400,43.4431,-77.4381,180,78,10,10,19.53,5.507,184,195.3,LOLA2013
8/13/2013,1376352000,43.443217,-77.4384,180,78,1,10,19.53,4.796,0,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,1,10,19.53,4.813,1.8,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,1,10,19.53,5.198,8,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,1,10,19.53,6.015,16,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,2,10,19.53,6.213,19.9,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,3,10,19.53,3.066,40,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,3,10,19.53,2.486,50,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,6,10,19.53,3.764,100.1,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,10,10,19.53,4.686,182.3,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,10,10,19.53,4.458,190.1,195.3,
8/13/2013,1376352000,43.443217,-77.4384,180,78,2,10,19.53,5.308,24,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,1,10,19.53,3.391,0,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,1,10,19.53,3.731,2,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,1,10,19.53,4.915975,6,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,1,10,19.53,5.074,11,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,1,10,19.53,4.122,15,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,2,10,19.53,3.788,37,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,3,10,19.53,3.2,40,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,3,10,19.53,3.912,50,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,6,10,19.53,4.155,100,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,10,10,19.53,3.837,180.4,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,10,10,19.53,3.718,188.1,195.3,
8/16/2018,1534377600,43.443617,-77.438335,180,78,2,10,19.53,5.8349,19.9,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,1,10,19.53,3.712,0,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,1,10,19.53,5.566,2.1,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,1,10,19.53,5.261,5.1,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,1,10,19.53,3.330025,10,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,2,10,19.53,5.118,20,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,2,10,19.53,4.408,30,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,3,10,19.53,4.215,40,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,3,10,19.53,4.425,50,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,6,10,19.53,4.054,100,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,10,10,19.53,3.782,179,195.3,
4/11/2018,1523404800,43.443817,-77.44155,180,78,10,10,19.53,4.957,187,195.3,
5/24/2018,1527120000,43.44389,-77.43889,180,78,1,10,19.53,5.8,2,195.3,ECCC
5/24/2018,1527120000,43.44389,-77.43889,180,78,5,10,19.53,5.9,95.5,195.3,ECCC
5/24/2018,1527120000,43.44389,-77.43889,180,78,10,10,19.53,4.7,188.9,195.3,ECCC
5/24/2018,1527120000,43.4439,-77.4389,180,78,1,10,19.53,2.09,11,195.3,
5/24/2018,1527120000,43.4439,-77.4389,180,78,5,10,19.53,1.4,95.5,195.3,
5/24/2018,1527120000,43.4439,-77.4389,180,78,10,10,19.53,4.51,188.9,195.3,
6/20/2018,1529452800,43.4439,-77.4389,180,78,1,10,19.53,4.57,4,195.3,
6/20/2018,1529452800,43.4439,-77.4389,180,78,1,10,19.53,4.43,12,195.3,
6/20/2018,1529452800,43.4439,-77.4389,180,78,10,10,19.53,0.61,188.4,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,1,10,19.53,5.57,0,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,1,10,19.53,5.974,2,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,1,10,19.53,4.658625,8,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,1,10,19.53,5.316,15,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,2,10,19.53,6.031,20,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,3,10,19.53,4.847,40,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,3,10,19.53,3.835,50,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,6,10,19.53,4.2,100,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,10,10,19.53,5.291,181.5,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,10,10,19.53,6.199,189.5,195.3,
8/14/2019,1565740800,43.444002,-77.441388,180,78,2,10,19.53,5.9836,23,195.3,
7/19/2013,1374192000,43.46,-78.76,97,79,10,10,14.1192,3.327,128,141.192,LOLA2013
7/19/2013,1374192000,43.46,-78.76,97,79,1,10,14.1192,2.446,5,141.192,LOLA2013
7/19/2013,1374192000,43.46,-78.76,97,79,7,10,14.1192,1.958,90,141.192,LOLA2013
7/19/2013,1374192000,43.46,-78.76,97,79,2,10,14.1192,3.701,23,141.192,LOLA2013
